policy,contract,estimator,dataset_cell_count,environment_count,mean_absolute_error,normalized_mean_absolute_error,repeated_dataset_coverage90,sign_recovery,pairwise_order_recovery,false_improvement_rate,mean_ess,nonfinite_rate,mean_within_dataset_estimator_standard_deviation,counterfactual_truth
history_softmax_reference,primary_crossfit_no_clip,FQE,320,40,0.1922314197293778,0.057132831000585395,0.003125,0.60625,0.60625,0.19375,13.181694721959119,0.0,15.652536611628651,known_constructed_simulator_direct_return
history_softmax_reference,primary_crossfit_no_clip,IS,320,40,40.70679811464187,13.688392995407304,0.853125,0.55625,0.55625,0.265625,13.181694721959119,0.0,15.652536611628651,known_constructed_simulator_direct_return
history_softmax_reference,primary_crossfit_no_clip,WDR,320,40,0.14696713749102736,0.03974201168118851,0.821875,0.63125,0.63125,0.1625,13.181694721959119,0.0,15.652536611628651,known_constructed_simulator_direct_return
history_softmax_reference,primary_crossfit_no_clip,WIS,320,40,0.4395003748074,0.07201706439457611,0.946875,0.471875,0.471875,0.40625,13.181694721959119,0.0,15.652536611628651,known_constructed_simulator_direct_return
history_softmax_reference,sensitivity_crossfit_clip10,CWPDIS,320,40,0.7613392205435738,0.1843670628147443,0.784375,0.48125,0.48125,0.41875,12.96723098387111,0.0,18.075423954652784,known_constructed_simulator_direct_return
history_softmax_reference,sensitivity_crossfit_clip10,DR,320,40,6.031166662931064,2.075305268059994,0.525,0.615625,0.615625,0.196875,12.96723098387111,0.0,18.075423954652784,known_constructed_simulator_direct_return
history_softmax_reference,sensitivity_crossfit_clip10,FQE,320,40,0.1922314197293778,0.057132831000585395,0.003125,0.60625,0.60625,0.19375,12.96723098387111,0.0,18.075423954652784,known_constructed_simulator_direct_return
history_softmax_reference,sensitivity_crossfit_clip10,IS,320,40,47.850462445605324,16.206534220911344,0.853125,0.53125,0.53125,0.278125,12.96723098387111,0.0,18.075423954652784,known_constructed_simulator_direct_return
history_softmax_reference,sensitivity_crossfit_clip10,WDR,320,40,0.150563399299659,0.040939837652498874,0.828125,0.65,0.65,0.13125,12.96723098387111,0.0,18.075423954652784,known_constructed_simulator_direct_return
history_softmax_reference,sensitivity_crossfit_clip10,WIS,320,40,0.4608886207444528,0.07898627841532284,0.953125,0.425,0.425,0.471875,12.96723098387111,0.0,18.075423954652784,known_constructed_simulator_direct_return
history_softmax_reference,sensitivity_exact_behavior_no_clip,CWPDIS,320,40,0.9882298715656436,0.22320797529910213,0.58125,0.453125,0.453125,0.440625,7.201280956011726,0.0,0.6780441752145279,known_constructed_simulator_direct_return
history_softmax_reference,sensitivity_exact_behavior_no_clip,DR,320,40,0.5062917995022683,0.15808090600970975,0.175,0.721875,0.721875,0.06875,7.201280956011726,0.0,0.6780441752145279,known_constructed_simulator_direct_return
history_softmax_reference,sensitivity_exact_behavior_no_clip,FQE,320,40,0.1922314197293778,0.057132831000585395,0.003125,0.60625,0.60625,0.19375,7.201280956011726,0.0,0.6780441752145279,known_constructed_simulator_direct_return
history_softmax_reference,sensitivity_exact_behavior_no_clip,IS,320,40,0.672673584234618,0.18100600244359538,0.2,0.703125,0.703125,0.09375,7.201280956011726,0.0,0.6780441752145279,known_constructed_simulator_direct_return
history_softmax_reference,sensitivity_exact_behavior_no_clip,WDR,320,40,0.36326526420387223,0.0705127564378952,0.84375,0.58125,0.58125,0.25625,7.201280956011726,0.0,0.6780441752145279,known_constructed_simulator_direct_return
history_softmax_reference,sensitivity_exact_behavior_no_clip,WIS,320,40,0.4184346553415573,0.10198215112009486,0.646875,0.390625,0.390625,0.46875,7.201280956011726,0.0,0.6780441752145279,known_constructed_simulator_direct_return
history_softmax_reference,sensitivity_misspecified_power055_no_clip,CWPDIS,320,40,0.8547962902295592,0.21667812954530827,0.484375,0.384375,0.384375,0.53125,18.20550342802587,0.0,0.39994602245189526,known_constructed_simulator_direct_return
history_softmax_reference,sensitivity_misspecified_power055_no_clip,DR,320,40,0.18624133049804176,0.05514570597071546,0.0125,0.671875,0.671875,0.109375,18.20550342802587,0.0,0.39994602245189526,known_constructed_simulator_direct_return
history_softmax_reference,sensitivity_misspecified_power055_no_clip,FQE,320,40,0.1922314197293778,0.057132831000585395,0.003125,0.60625,0.60625,0.19375,18.20550342802587,0.0,0.39994602245189526,known_constructed_simulator_direct_return
history_softmax_reference,sensitivity_misspecified_power055_no_clip,IS,320,40,0.19135781454252943,0.056316140210946976,0.0125,0.69375,0.69375,0.1,18.20550342802587,0.0,0.39994602245189526,known_constructed_simulator_direct_return
history_softmax_reference,sensitivity_misspecified_power055_no_clip,WDR,320,40,0.2526499947003776,0.055194183066873646,0.73125,0.53125,0.53125,0.290625,18.20550342802587,0.0,0.39994602245189526,known_constructed_simulator_direct_return
history_softmax_reference,sensitivity_misspecified_power055_no_clip,WIS,320,40,0.28610953148984,0.07738446603750788,0.621875,0.35625,0.35625,0.50625,18.20550342802587,0.0,0.39994602245189526,known_constructed_simulator_direct_return
