task,mode,method,reference,point_delta_rmse,ci_lower_95,ci_upper_95,bootstrap_replicates,bootstrap_unit,bootstrap_seed,raw_two_sided_p,holm_adjusted_p
af_flutter,one_step,persistence_locf,local_ridge_residual,0.07784821315098767,0.07156459357460751,0.08392075946720066,1000,subject_cluster,8813408,0.0,0.0
af_flutter,one_step,previous_window_deterministic,local_ridge_residual,0.14406562980113047,0.1284145843983433,0.15706066898749632,1000,subject_cluster,8813408,0.0,0.0
af_flutter,one_step,local_ridge_residual,local_ridge_residual,0.0,0.0,0.0,1000,subject_cluster,8813408,1.0,1.0
af_flutter,one_step,local_hgb_residual,local_ridge_residual,0.0003264982432873431,-0.001975101111580413,0.0029863901412422096,1000,subject_cluster,8813408,0.846,1.0
af_flutter,one_step,local_gru_residual,local_ridge_residual,0.01928322430117868,0.015559953284677625,0.023214207557120833,1000,subject_cluster,8813408,0.0,0.0
af_flutter,one_step,clean_gaussian_transition,local_ridge_residual,0.026294638383557944,0.022464864718995493,0.03035785168169638,1000,subject_cluster,8813408,0.0,0.0
af_flutter,conditional_recursive,persistence_locf,local_hgb_residual,0.13441464119767543,0.11321374635195312,0.15735589391829544,1000,subject_cluster,8813408,0.0,0.0
af_flutter,conditional_recursive,previous_window_deterministic,local_hgb_residual,0.12851411384430322,0.11475601392276084,0.14228181966714978,1000,subject_cluster,8813408,0.0,0.0
af_flutter,conditional_recursive,local_ridge_residual,local_hgb_residual,0.02621859568347118,0.020439371933292982,0.031832691076597086,1000,subject_cluster,8813408,0.0,0.0
af_flutter,conditional_recursive,local_hgb_residual,local_hgb_residual,0.0,0.0,0.0,1000,subject_cluster,8813408,1.0,1.0
af_flutter,conditional_recursive,local_gru_residual,local_hgb_residual,0.021716870297544433,0.014999203992014484,0.02973429648594063,1000,subject_cluster,8813408,0.0,0.0
af_flutter,conditional_recursive,clean_gaussian_transition,local_hgb_residual,0.03397945183976492,0.026658376448340942,0.04332933699687917,1000,subject_cluster,8813408,0.0,0.0
heart_failure,one_step,persistence_locf,local_hgb_residual,0.0859137718952061,0.07947336209255619,0.09278221356823924,1000,subject_cluster,8813408,0.0,0.0
heart_failure,one_step,previous_window_deterministic,local_hgb_residual,0.1572676816957299,0.14894336501162153,0.16676027070055094,1000,subject_cluster,8813408,0.0,0.0
heart_failure,one_step,local_ridge_residual,local_hgb_residual,3.220307156659441e-05,-0.0025741941757798175,0.0026806530286232638,1000,subject_cluster,8813408,0.932,1.0
heart_failure,one_step,local_hgb_residual,local_hgb_residual,0.0,0.0,0.0,1000,subject_cluster,8813408,1.0,1.0
heart_failure,one_step,local_gru_residual,local_hgb_residual,0.02643854463000661,0.021864091060371543,0.0312931809510534,1000,subject_cluster,8813408,0.0,0.0
heart_failure,one_step,clean_gaussian_transition,local_hgb_residual,0.033021326153994,0.02880396863845883,0.03777102618999552,1000,subject_cluster,8813408,0.0,0.0
heart_failure,conditional_recursive,persistence_locf,local_hgb_residual,0.14648565912151923,0.12258330455302094,0.16845630396358352,1000,subject_cluster,8813408,0.0,0.0
heart_failure,conditional_recursive,previous_window_deterministic,local_hgb_residual,0.14154953899596467,0.12736999224430126,0.15515861038452922,1000,subject_cluster,8813408,0.0,0.0
heart_failure,conditional_recursive,local_ridge_residual,local_hgb_residual,0.03176457787334008,0.025031939070523028,0.03823366297943476,1000,subject_cluster,8813408,0.0,0.0
heart_failure,conditional_recursive,local_hgb_residual,local_hgb_residual,0.0,0.0,0.0,1000,subject_cluster,8813408,1.0,1.0
heart_failure,conditional_recursive,local_gru_residual,local_hgb_residual,0.032676595842484835,0.025187024465715566,0.04102998458321351,1000,subject_cluster,8813408,0.0,0.0
heart_failure,conditional_recursive,clean_gaussian_transition,local_hgb_residual,0.041081907661934314,0.03374394590052748,0.04890584650327014,1000,subject_cluster,8813408,0.0,0.0
