task,subjects,episodes,decisions,action_count,cutpoint_hash,reward_observed,terminal_rewards,horizon_min,horizon_max,status
sepsis,21072,25304,202025,25,f20d189508daf0f65eaf97b0acda04b02f356c64876208f3af9ad2831697a7bb,25304,25304,1,11,exact_m1
respiratory_support,20604,23928,139185,25,fe68b7b08f1c49c8e864e409c3f3bcfd7b96405335b8b16da313bce631d5fc72,132807,0,1,10,exact_m1
shock,43564,58240,455242,25,4ef08024bbcc3ef40b53e6f5f001df5923683fe6b3f086d47320eabbb4490fbf,441989,0,1,11,exact_m1
aki,19403,25037,214356,4,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,25037,25037,1,11,exact_m1
heart_failure,25826,29665,233986,2,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945,29665,29665,1,10,exact_m1
