method_id,one_step_rmse,executed_seed_rows,final_recursive_rmse,final_horizon_step,final_horizon_hours,gaussian_crps_one_step,gaussian_crps_recursive,coverage90_one_step,coverage90_recursive,width90_one_step,width90_recursive,mean_absolute_coverage_error_one_step,mean_absolute_coverage_error_recursive,cohort,display_method,method_group
grud_world_model,0.6725147050321517,3,1.088942851848969,11,44,0.3360037327620435,0.48717900212837933,0.9093578625418545,0.8989085417477062,2.056021204606234,2.8150062987566824,0.0349484970520711,0.016334786322830534,sepsis,GRU-D,P/R/T component family
hgb_residual,0.6754423593483487,3,0.9405043327777065,11,44,0.34382171862858585,0.46720647209756155,0.9138159851726426,0.8152491438421466,2.162718685503068,2.162718685503068,0.051422385190947904,0.0731564003996674,sepsis,HGB residual,sanity control
persistence_locf,0.7479888798878229,1,1.0449729977928832,11,44,,,,,,,,,sepsis,Persistence/LOCF,sanity control
transformer_world_model,0.6685809222979159,3,3.2683524286332353,11,44,0.33412690865525785,1.10847768306772,0.9101892318605129,0.6230464727821888,2.050532416271982,2.9487459759776278,0.034897966577427865,0.24471498905490852,sepsis,Transformer,P/R/T component family
dreamer_v3_categorical_rssm,0.7685359131841749,3,1.2742703864255225,11,44,0.3816042725014972,0.5628904070945854,0.9106828019269025,0.7688697986164789,2.3221622432059923,2.2716587228225387,0.039510326482760365,0.11563142612155347,shock,categorical RSSM,P/R/T component family
gaussian_transition_ensemble,0.7036517936889496,1,0.9995726666712844,11,44,0.3486355047990783,0.469799962567706,0.9193191601676648,0.926034969971574,2.160783683672048,2.9627768340817564,0.0395341194978434,0.0400997054763385,shock,Gaussian ensemble,P/R/T component family
grud_world_model,0.7075399462584571,3,1.1309904147186793,11,44,0.3512452916585423,0.4985566809585554,0.9134391607541984,0.8880879912131681,2.140551449795714,2.787777035073153,0.0329413246442568,0.0153984710325714,shock,GRU-D,P/R/T component family
hgb_residual,0.7199050101855645,3,1.0385633173055488,11,44,0.3689310276622781,0.48468689735821147,0.91688783871443,0.8376904401306294,2.3360937109137274,2.3360937109137274,0.052274327703308865,0.049106644727516725,shock,HGB residual,sanity control
persistence_locf,0.8109697007764569,1,1.1214205729049678,11,44,,,,,,,,,shock,Persistence/LOCF,sanity control
transformer_world_model,0.7023592870900875,3,2.16990199903501,11,44,0.34740649916706506,0.7179805276448756,0.9125185124669812,0.7654343874878416,2.10674070049191,2.938639689358959,0.031352708842622465,0.11354591510763934,shock,Transformer,P/R/T component family
