cohort,model_seed_rows,mean_comparator_minus_observed_rmse,minimum_delta,maximum_delta,cluster_intervals_excluding_zero,estimand,aggregation,cluster_unit,causal_effect
af flutter,10,0.0008153973799966199,0.0003712642978231,0.00139033678134,2,reward-relevant observed-action RMSE versus within-stratum matched-action shuffle,unweighted mean across four core world-model families and their executed seeds,materialized episode within each model-seed row,False
aki,10,0.0008367108004239,0.0005912145523814,0.0011721199983987,10,reward-relevant observed-action RMSE versus within-stratum matched-action shuffle,unweighted mean across four core world-model families and their executed seeds,materialized episode within each model-seed row,False
heart failure,10,8.045956926628591e-05,-0.0001571900381939,0.0004928049255548,0,reward-relevant observed-action RMSE versus within-stratum matched-action shuffle,unweighted mean across four core world-model families and their executed seeds,materialized episode within each model-seed row,False
respiratory,10,0.00227584216586257,0.0006198049581673,0.0065632416965595,10,reward-relevant observed-action RMSE versus within-stratum matched-action shuffle,unweighted mean across four core world-model families and their executed seeds,materialized episode within each model-seed row,False
sepsis,10,0.0014725733298512652,-0.0002315338561558,0.0028567282996234,0,reward-relevant observed-action RMSE versus within-stratum matched-action shuffle,unweighted mean across four core world-model families and their executed seeds,materialized episode within each model-seed row,False
shock,10,0.00218992966241983,0.0016178585407926,0.0028609236132818,10,reward-relevant observed-action RMSE versus within-stratum matched-action shuffle,unweighted mean across four core world-model families and their executed seeds,materialized episode within each model-seed row,False
