task,method_group,method,mean_paired_behavior_relative_return,mean_paired_standard_error,display_method,within_task_rank_percentile,evidence_role
aki,model_free,discrete_cql,0.15214319832522943,0.010172686539845167,Discrete CQL,0.9705882352941176,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,model_free,discrete_cql,-0.006039990510099067,0.0020635303021404334,Discrete CQL,0.11764705882352941,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,model_free,discrete_cql,0.006059636425696099,0.0024391879008262003,Discrete CQL,0.20588235294117646,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,model_free,discrete_cql,-0.004678196675028667,0.0024762111744724,Discrete CQL,0.08823529411764706,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,model_free,soft_spibb,0.065679140398456,0.0111387574570558,Soft-SPIBB adapter,0.20588235294117646,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,model_free,soft_spibb,-0.0033375829321419,0.0022410781200709333,Soft-SPIBB adapter,0.14705882352941177,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,model_free,soft_spibb,0.004918936127572466,0.0022990141853329667,Soft-SPIBB adapter,0.17647058823529413,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,model_free,soft_spibb,-0.0031685068009878674,0.0023502836395877334,Soft-SPIBB adapter,0.11764705882352941,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,world_model_planner,grud_world_model__H1_exhaustive__support_and_uncertainty_penalized,0.12938234306610263,0.010757885997829867,GRU-D + H1 exhaustive (support + uncertainty),0.6911764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,grud_world_model__H1_exhaustive__support_and_uncertainty_penalized,0.01572741656604777,0.0028494440182326997,GRU-D + H1 exhaustive (support + uncertainty),0.8235294117647058,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,world_model_planner,grud_world_model__H1_exhaustive__support_and_uncertainty_penalized,0.03790767743049744,0.0029276454288852,GRU-D + H1 exhaustive (support + uncertainty),0.7941176470588235,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,world_model_planner,grud_world_model__H1_exhaustive__support_and_uncertainty_penalized,0.0391730966947608,0.0029170363304373667,GRU-D + H1 exhaustive (support + uncertainty),0.9411764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,world_model_planner,grud_world_model__H1_exhaustive__support_constrained,0.12938234306610263,0.010757885997829867,GRU-D + H1 exhaustive (support),0.6911764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,grud_world_model__H1_exhaustive__support_constrained,0.015260125865437365,0.0028443374286341665,GRU-D + H1 exhaustive (support),0.7058823529411765,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,world_model_planner,grud_world_model__H1_exhaustive__support_constrained,0.03927130998659376,0.0029100496671584665,GRU-D + H1 exhaustive (support),0.8970588235294118,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,world_model_planner,grud_world_model__H1_exhaustive__support_constrained,0.038361466394141334,0.0029026708131272,GRU-D + H1 exhaustive (support),0.8235294117647058,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
