task,method_group,method,mean_paired_behavior_relative_return,mean_paired_standard_error,display_method,within_task_rank_percentile,evidence_role
respiratory,world_model_planner,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_and_uncertainty_penalized,0.03595285196637227,0.0028822096623080003,categorical RSSM + H4 CEM (support + uncertainty),0.5588235294117647,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,world_model_planner,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_and_uncertainty_penalized,0.03236239682353173,0.0027689483000883663,categorical RSSM + H4 CEM (support + uncertainty),0.5294117647058824,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,world_model_planner,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_constrained,0.12715028015660876,0.010858315426307533,categorical RSSM + H4 CEM (support),0.39705882352941174,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_constrained,0.014669293896846666,0.0028232999615121334,categorical RSSM + H4 CEM (support),0.5,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,world_model_planner,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_constrained,0.03661780510513266,0.0029013138354303998,categorical RSSM + H4 CEM (support),0.6617647058823529,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,world_model_planner,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_constrained,0.032408610897212,0.0027563352209862995,categorical RSSM + H4 CEM (support),0.6029411764705882,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,world_model_planner,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_and_uncertainty_penalized,0.12938234306610263,0.010757885997829867,categorical RSSM + H8 CEM (support + uncertainty),0.6911764705882353,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_and_uncertainty_penalized,0.016150553882320565,0.0028883960688401663,categorical RSSM + H8 CEM (support + uncertainty),0.9705882352941176,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,world_model_planner,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_and_uncertainty_penalized,0.0338209037428011,0.002778886776342133,categorical RSSM + H8 CEM (support + uncertainty),0.29411764705882354,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,world_model_planner,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_and_uncertainty_penalized,0.02978914387749743,0.0026882265970301334,categorical RSSM + H8 CEM (support + uncertainty),0.35294117647058826,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
aki,world_model_planner,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_constrained,0.12687273999322154,0.010854969856984366,categorical RSSM + H8 CEM (support),0.27941176470588236,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
heart_failure,world_model_planner,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_constrained,0.016007166913338502,0.0028996847944562,categorical RSSM + H8 CEM (support),0.9117647058823529,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
respiratory,world_model_planner,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_constrained,0.03471621023875033,0.0027958291489073,categorical RSSM + H8 CEM (support),0.45588235294117646,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
shock,world_model_planner,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_constrained,0.030278409316362068,0.002688473757162133,categorical RSSM + H8 CEM (support),0.45588235294117646,monotone known-value evaluator smoke/sensitivity; not the adaptive primary policy benchmark
