task,mechanism,policy,method_group,training_seeds,mean_exact_return,std_exact_return,mean_exact_regret,maximum_unsupported_mass,best_fixed_extreme_exact_return,mean_return_minus_best_fixed_extreme,display_policy
aki_rrt,delayed_tradeoff,grud_world_model__H8_categorical_CEM__support_constrained,world_model_planner,5,0.3272196789663441,0.013294958670271896,0.0165172716510308,0.0,0.3417633794233749,-0.01454370045703085,GRU-D + H8 CEM (support)
aki_rrt,delayed_tradeoff,maximum_supported_action,control,5,0.23712692295599994,0.0,0.10661002766137488,0.0,0.3417633794233749,-0.10463645646737499,Maximum supported
aki_rrt,delayed_tradeoff,minimum_supported_action,control,5,0.3417633794233749,0.0,0.0019735711939999,0.0,0.3417633794233749,0.0,Minimum supported
aki_rrt,delayed_tradeoff,random_supported,control,5,0.288547547013228,0.0,0.0551894036041468,0.0,0.3417633794233749,-0.053215832410146935,Supported random
aki_rrt,delayed_tradeoff,severity_rule,control,5,0.2599729706384116,0.0,0.0837639799789632,0.0,0.3417633794233749,-0.0817904087849633,Severity rule
aki_rrt,delayed_tradeoff,soft_spibb,model_free,5,0.3248129338144573,0.002086821665190594,0.01892401680291752,0.0,0.3417633794233749,-0.01695044560891762,Soft-SPIBB adapter
aki_rrt,delayed_tradeoff,transformer_world_model__H1_exhaustive__support_and_uncertainty_penalized,world_model_planner,5,0.3272196789663441,0.013294958670271896,0.0165172716510308,0.0,0.3417633794233749,-0.01454370045703085,Transformer + H1 exhaustive (support + uncertainty)
aki_rrt,delayed_tradeoff,transformer_world_model__H1_exhaustive__support_constrained,world_model_planner,5,0.3272196789663441,0.013294958670271896,0.0165172716510308,0.0,0.3417633794233749,-0.01454370045703085,Transformer + H1 exhaustive (support)
aki_rrt,delayed_tradeoff,transformer_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,5,0.3272196789663441,0.013294958670271896,0.0165172716510308,0.0,0.3417633794233749,-0.01454370045703085,Transformer + H4 CEM (support + uncertainty)
aki_rrt,delayed_tradeoff,transformer_world_model__H4_categorical_CEM__support_constrained,world_model_planner,5,0.3272196789663441,0.013294958670271896,0.0165172716510308,0.0,0.3417633794233749,-0.01454370045703085,Transformer + H4 CEM (support)
aki_rrt,delayed_tradeoff,transformer_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,5,0.3272196789663441,0.013294958670271896,0.0165172716510308,0.0,0.3417633794233749,-0.01454370045703085,Transformer + H8 CEM (support + uncertainty)
aki_rrt,delayed_tradeoff,transformer_world_model__H8_categorical_CEM__support_constrained,world_model_planner,5,0.3272196789663441,0.013294958670271896,0.0165172716510308,0.0,0.3417633794233749,-0.01454370045703085,Transformer + H8 CEM (support)
aki_rrt,heterogeneous_response,behavior_cloning,model_free,5,0.24567082771967658,0.0007659738664868522,0.025254717110823277,0.0,0.2544771820614332,-0.00880635434175664,Behavior cloning
aki_rrt,heterogeneous_response,decision_transformer_adapter,model_free,5,0.24497263563198732,0.0004636588177854873,0.025952909198512557,0.0,0.2544771820614332,-0.009504546429445898,Decision Transformer adapter
