task,method_group,method,seeds,mean_true_return,std_true_return,mean_behavior_relative_true_value_difference,mean_paired_standard_error,unsupported_action_mass,within_contract_rank,response_regime,reward_variant,comparison_unit
respiratory,world_model_planner,grud_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,3,0.3616102532796605,0.0169516342921756,0.0360129597262646,0.0028860968640789,0.0,15.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,grud_world_model__H4_categorical_CEM__support_constrained,3,0.3622150986585284,0.0178064469875033,0.0366178051051326,0.0029013138354303,0.0,11.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,grud_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,3,0.3601107359012609,0.0161331471967182,0.034513442347865,0.0028159786984771,0.0,23.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,grud_world_model__H8_categorical_CEM__support_constrained,3,0.3603135037921463,0.0176821200594551,0.0347162102387503,0.0027958291489073,0.0,18.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,transformer_world_model__H1_exhaustive__support_and_uncertainty_penalized,3,0.3635049709838933,0.0155057765742637,0.0379076774304974,0.0029276454288852,0.0,7.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,transformer_world_model__H1_exhaustive__support_constrained,3,0.3648686035399895,0.0208439508520575,0.0392713099865937,0.0029100496671584,0.0,3.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,transformer_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,3,0.3610131837092767,0.0162208790811969,0.0354158901558809,0.0028755972170512,0.0,17.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,transformer_world_model__H4_categorical_CEM__support_constrained,3,0.3622150986585284,0.0178064469875033,0.0366178051051326,0.0029013138354303,0.0,11.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,transformer_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,3,0.3601111906001736,0.0164371839534038,0.0345138970467778,0.0027892523070613,0.0,22.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
respiratory,world_model_planner,transformer_world_model__H8_categorical_CEM__support_constrained,3,0.3603135037921463,0.0176821200594551,0.0347162102387503,0.0027958291489073,0.0,18.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,control,empirical_behavior,3,0.3341007623342311,0.018520073658897,0.0020377147593741,0.0023253536565778,0.0,28.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,control,maximum_supported_action,3,0.4080747472578659,0.0203121679876433,0.076011699683009,0.0037490373115666,0.0,1.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,control,minimum_supported_action,3,0.2932978812168036,0.0157049879635518,-0.0387651663580532,0.0025801762418914,0.0,34.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,control,random_supported,3,0.3520080582666662,0.0189240342490946,0.0199450106918093,0.0025273177877926,0.0,26.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,control,severity_rule,3,0.335460393602337,0.0176573021874186,0.00339734602748,0.0022569851512969,0.0,27.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,model_free,behavior_cloning,3,0.3326610028448483,0.0184538566734909,0.0005979552699914,0.0023549544426743,0.0,30.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,model_free,decision_transformer_adapter,3,0.3330019967404238,0.0165053299551358,0.0009389491655669,0.0022857339552934,0.0,29.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,model_free,discrete_bcq,3,0.3187215831918005,0.0113260443165053,-0.0133414643830563,0.0021033659701735,0.0,33.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,model_free,discrete_cql,3,0.3273848508998281,0.0422482381330146,-0.0046781966750286,0.0024762111744724,0.0,32.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,model_free,soft_spibb,3,0.328894540773869,0.0249695323104284,-0.0031685068009878,0.0023502836395877,0.0,31.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,dreamer_v3_categorical_rssm__H1_exhaustive__support_and_uncertainty_penalized,3,0.3712361442696177,0.016818469313754,0.0391730966947608,0.0029170363304373,0.0,2.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,dreamer_v3_categorical_rssm__H1_exhaustive__support_constrained,3,0.3704245139689983,0.0156351549922318,0.0383614663941413,0.0029026708131272,0.0,5.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_and_uncertainty_penalized,3,0.3644254443983887,0.0150988936511064,0.0323623968235317,0.0027689483000883,0.0,17.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_constrained,3,0.364471658472069,0.0151859527403616,0.032408610897212,0.0027563352209862,0.0,13.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_and_uncertainty_penalized,3,0.3618521914523543,0.0159789690297362,0.0297891438774974,0.0026882265970301,0.0,23.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_constrained,3,0.362341456891219,0.0169679971027975,0.030278409316362,0.0026884737571621,0.0,18.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,gaussian_recurrent_ensemble__H1_exhaustive__support_and_uncertainty_penalized,3,0.3704245139689983,0.0156351549922318,0.0383614663941413,0.0029026708131272,0.0,5.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,gaussian_recurrent_ensemble__H1_exhaustive__support_constrained,3,0.3704245139689983,0.0156351549922318,0.0383614663941413,0.0029026708131272,0.0,5.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,gaussian_recurrent_ensemble__H4_categorical_CEM__support_and_uncertainty_penalized,3,0.3647987721864447,0.0164114185931752,0.0327357246115877,0.0027677743074935,0.0,11.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,gaussian_recurrent_ensemble__H4_categorical_CEM__support_constrained,3,0.364471658472069,0.0151859527403616,0.032408610897212,0.0027563352209862,0.0,13.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,gaussian_recurrent_ensemble__H8_categorical_CEM__support_and_uncertainty_penalized,3,0.3618160520595178,0.0167822258702753,0.0297530044846608,0.0026735248443291,0.0,24.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,gaussian_recurrent_ensemble__H8_categorical_CEM__support_constrained,3,0.362341456891219,0.0169679971027975,0.030278409316362,0.0026884737571621,0.0,18.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,grud_world_model__H1_exhaustive__support_and_uncertainty_penalized,3,0.3712361442696177,0.016818469313754,0.0391730966947608,0.0029170363304373,0.0,2.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,grud_world_model__H1_exhaustive__support_constrained,3,0.3704245139689983,0.0156351549922318,0.0383614663941413,0.0029026708131272,0.0,5.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,grud_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,3,0.3654752600169508,0.0154581969418469,0.0334122124420938,0.00277662454632,0.0,10.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,grud_world_model__H4_categorical_CEM__support_constrained,3,0.364471658472069,0.0151859527403616,0.032408610897212,0.0027563352209862,0.0,13.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,grud_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,3,0.361934008237251,0.0165391856224824,0.029870960662394,0.0026816063929975,0.0,22.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,grud_world_model__H8_categorical_CEM__support_constrained,3,0.362341456891219,0.0169679971027975,0.030278409316362,0.0026884737571621,0.0,18.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,transformer_world_model__H1_exhaustive__support_and_uncertainty_penalized,3,0.3712361442696177,0.016818469313754,0.0391730966947608,0.0029170363304373,0.0,2.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,transformer_world_model__H1_exhaustive__support_constrained,3,0.3704245139689983,0.0156351549922318,0.0383614663941413,0.0029026708131272,0.0,5.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,transformer_world_model__H4_categorical_CEM__support_and_uncertainty_penalized,3,0.3645037271406887,0.0151621312336074,0.0324406795658318,0.002760531944188,0.0,12.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,transformer_world_model__H4_categorical_CEM__support_constrained,3,0.364471658472069,0.0151859527403616,0.032408610897212,0.0027563352209862,0.0,13.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,transformer_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,3,0.3606667174687155,0.0146103409655016,0.0286036698938585,0.0026783144844703,0.0,25.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
shock,world_model_planner,transformer_world_model__H8_categorical_CEM__support_constrained,3,0.362341456891219,0.0169679971027975,0.030278409316362,0.0026884737571621,0.0,18.0,moderate,primary_dense_plus_terminal,fixed policy or world-model--planner label
