task,tier,regime,estimator,denominator,clipping,support_contract,horizon,coverage_rate,spearman_rank_recovery,pairwise_order_recovery,behavior_relative_sign_recovery,false_improvement_rate,median_ess,maximum_weight_concentration,maximum_unsupported_action_mass,maximum_paired_true_return_se,coverage_gate,rank_gate,pairwise_gate,sign_gate,false_improvement_gate,ess_gate,support_gate,precision_gate,finite_gate,approved_exact_tuple
aki_rrt,tier1_exact_finite,delayed,CWPDIS,exact_behavior,none,unrestricted_stress,2,1.0,,,,,417.4560862690112,0.0030873713615784,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,exact_behavior,none,unrestricted_stress,3,1.0,,,,,253.6946471647696,0.0057042738033414,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,20.0,masked,1,0.3076923076923077,0.9942857142857142,0.9855072463768116,1.0,0.0,676.8904809061006,0.003239211813121,0.0,0.0151291898692132,False,True,True,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,20.0,masked,2,0.6153846153846154,0.9662921348314607,0.9583333333333334,1.0,0.0,439.58227155403614,0.0045170838410039,0.0,0.0151291898692132,False,True,True,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,20.0,masked,3,0.0769230769230769,0.6797752808988764,0.75,0.9230769230769231,0.0,298.415931576573,0.0057394781170509,0.0,0.0151291898692132,False,False,False,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,20.0,unrestricted_stress,1,1.0,,,,,676.8904809061006,0.0016087735434575,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,20.0,unrestricted_stress,2,1.0,,,,,424.76887721570125,0.0027895431743461,0.2,0.0151291898692132,True,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,20.0,unrestricted_stress,3,0.0,,,,,263.7702139170232,0.0048934797399871,0.2,0.0151291898692132,False,False,False,False,False,True,False,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,none,masked,1,0.3076923076923077,0.9942857142857142,0.9855072463768116,1.0,0.0,676.8904809061006,0.003239211813121,0.0,0.0151291898692132,False,True,True,True,True,True,True,True,True,False
aki_rrt,tier1_exact_finite,delayed,CWPDIS,misspecified_behavior,none,masked,2,0.6153846153846154,0.9662921348314607,0.9583333333333334,1.0,0.0,439.58227155403614,0.0045170838410039,0.0,0.0151291898692132,False,True,True,True,True,True,True,True,True,False
