task,response_regime,method,method_group,seed,true_return,behavior_true_return,paired_behavior_relative_return_difference,paired_crn_difference,paired_standard_error,learned_model_predicted_return,model_exploitation_gap,unsupported_action_mass,normalized_entropy,behavior_divergence_kl,top_argmax_action_share,single_action_collapse,policy_probability_complete,rank_within_task_regime_seed,paired_difference_definition
aki_rrt,null_response,transformer_world_model__H8_categorical_CEM__support_constrained,world_model_planner,3408,0.3278257169258,0.3278257169258,0.0,0.0,0.0,0.25906323258439734,-0.06876248434140264,0.0,0.8708644692353646,0.0022232758273795,0.7083333333333334,False,True,17.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,null_response,transformer_world_model__H8_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3408,0.3278257169258,0.3278257169258,0.0,0.0,0.0,0.25906323258439734,-0.06876248434140264,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,17.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,null_response,dreamer_v3_categorical_rssm__H1_exhaustive__support_constrained,world_model_planner,3408,0.3278257169258,0.3278257169258,0.0,0.0,0.0,0.25906323258439734,-0.06876248434140264,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,17.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,null_response,dreamer_v3_categorical_rssm__H1_exhaustive__support_and_uncertainty_penalized,world_model_planner,3408,0.3278257169258,0.3278257169258,0.0,0.0,0.0,0.25906323258439734,-0.06876248434140264,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,17.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,null_response,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_constrained,world_model_planner,3408,0.3278257169258,0.3278257169258,0.0,0.0,0.0,0.25906323258439734,-0.06876248434140264,0.0,0.9182958340544894,0.0124953068246668,0.6666666666666666,False,True,17.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,null_response,dreamer_v3_categorical_rssm__H4_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3408,0.3278257169258,0.3278257169258,0.0,0.0,0.0,0.25906323258439734,-0.06876248434140264,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,17.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,null_response,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_constrained,world_model_planner,3408,0.3278257169258,0.3278257169258,0.0,0.0,0.0,0.25906323258439734,-0.06876248434140264,0.0,0.8708644692353646,0.0022232758273795,0.7083333333333334,False,True,17.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,null_response,dreamer_v3_categorical_rssm__H8_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3408,0.3278257169258,0.3278257169258,0.0,0.0,0.0,0.25906323258439734,-0.06876248434140264,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,17.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,null_response,gaussian_recurrent_ensemble__H1_exhaustive__support_constrained,world_model_planner,3408,0.3278257169258,0.3278257169258,0.0,0.0,0.0,0.25906323258439734,-0.06876248434140264,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,17.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,null_response,gaussian_recurrent_ensemble__H1_exhaustive__support_and_uncertainty_penalized,world_model_planner,3408,0.3278257169258,0.3278257169258,0.0,0.0,0.0,0.25906323258439734,-0.06876248434140264,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,17.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,null_response,gaussian_recurrent_ensemble__H4_categorical_CEM__support_constrained,world_model_planner,3408,0.3278257169258,0.3278257169258,0.0,0.0,0.0,0.25906323258439734,-0.06876248434140264,0.0,0.9182958340544894,0.0124953068246668,0.6666666666666666,False,True,17.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,null_response,gaussian_recurrent_ensemble__H4_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3408,0.3278257169258,0.3278257169258,0.0,0.0,0.0,0.25906323258439734,-0.06876248434140264,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,17.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,null_response,gaussian_recurrent_ensemble__H8_categorical_CEM__support_constrained,world_model_planner,3408,0.3278257169258,0.3278257169258,0.0,0.0,0.0,0.25906323258439734,-0.06876248434140264,0.0,0.8708644692353646,0.0022232758273795,0.7083333333333334,False,True,17.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,null_response,gaussian_recurrent_ensemble__H8_categorical_CEM__support_and_uncertainty_penalized,world_model_planner,3408,0.3278257169258,0.3278257169258,0.0,0.0,0.0,0.25906323258439734,-0.06876248434140264,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,17.5,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,weak,behavior_cloning,model_free,3408,0.1089234549521257,0.0891733521652559,0.0197501027868697,0.0165834677734375,0.0136832941326116,,,0.0,0.8501065203928403,0.0005092485345763,1.0,True,True,30.0,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,weak,discrete_bcq,model_free,3408,0.3278257169258,0.0891733521652559,0.238652364760544,0.2212722041015624,0.0108601195950659,,,0.0,-0.0,0.3038178927852867,1.0,True,True,2.0,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,weak,discrete_cql,model_free,3408,0.3278257169258,0.0891733521652559,0.238652364760544,0.2212722041015624,0.0108601195950659,,,0.0,-0.0,0.3038178927852867,1.0,True,True,2.0,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,weak,soft_spibb,model_free,3408,0.2019892532046857,0.0891733521652559,0.1128159010394297,0.103442927734375,0.0133120687753214,,,0.0,0.5791321654270399,0.0453642117308315,1.0,True,True,29.0,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,weak,decision_transformer_adapter,model_free,3408,0.2052822927773925,0.0891733521652559,0.1161089406121365,0.1064308427734374,0.0132138693093187,,,0.0,0.4211485679446092,0.1004053290019118,1.0,True,True,28.0,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,weak,empirical_behavior,control,3408,0.089173352165256,0.0891733521652559,2.775557561562892e-17,-0.0094401806640624,0.0135762921315687,,,0.0,0.8297565267397857,0.0,1.0,True,True,31.0,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,weak,random_supported,control,3408,0.0075953220268499,0.0891733521652559,-0.0815780301384059,-0.0934243115234375,0.0117811531075391,,,0.0,1.0,0.1284580857266309,1.0,True,True,32.0,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,weak,minimum_supported_action,control,3408,0.3278257169258,0.0891733521652559,0.238652364760544,0.2212722041015624,0.0108601195950659,,,0.0,-0.0,0.3038178927852867,1.0,True,True,2.0,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,weak,maximum_supported_action,control,3408,-0.0407,0.0891733521652559,-0.1298733521652559,-0.1472145986328125,0.01063063015022,,,0.0,-0.0,1.339392639787866,1.0,True,True,34.0,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,weak,severity_rule,control,3408,-0.0059535591524702,0.0891733521652559,-0.0951269113177262,-0.1093749560546874,0.0117830075057498,,,0.0,0.954434002924965,0.0305951847532718,0.625,False,True,33.0,policy return minus behavior return under common initial states and exogenous noise
aki_rrt,weak,grud_world_model__H1_exhaustive__support_constrained,world_model_planner,3408,0.2351490945966642,0.0891733521652559,0.1459757424314083,0.126892646484375,0.0132620781459709,0.25906323258439734,0.023914137987733064,0.0,0.8112781244591328,0.000376434917123,0.75,False,True,11.5,policy return minus behavior return under common initial states and exogenous noise
