identity,KDD220M1,KDD220M2S2,status
raw_tree_sha256,8b6ecaab4ae4a42c387f3f34612f9cb0135b10e29bcd3a7e95b83056dca25d29,3ac30824efeeb1b3b46184e7e353b2b79f66c81b02eb47db21f6fae091e1bb25,expected_raw_difference
canonical_tree_sha256,aa39bf00f30efd07362473ac8ac7074924223fdd1741d5fc9e6bcd33621d9572,aa39bf00f30efd07362473ac8ac7074924223fdd1741d5fc9e6bcd33621d9572,pass_exact
raw_different_fields,98,98,allowed_telemetry_only
unclassified_differences,0,0,pass
raw_exact_files,5,5,pass
canonical_exact_files,7,7,pass
